"target_id","comparator_id","outcome_id","analysis_id","target_min_days","target_p10_days","target_p25_days","target_median_days","target_p75_days","target_p90_days","target_max_days","comparator_min_days","comparator_p10_days","comparator_p25_days","comparator_median_days","comparator_p75_days","comparator_p90_days","comparator_max_days","database_id"
1772597,1772598,1772595,1,1,196,209,315,763,952,2177,4,180,217,316,714,886,2189,"Open Claims"
1772597,1772598,1772596,1,10,196,209,315,762,949,2177,15,180,220,315,714,886,2189,"Open Claims"
1772597,1772599,1772595,1,1,209,209,319,778,971,2177,11,181,216,319,735.349999999999,899.900000000001,2189,"Open Claims"
1772597,1772599,1772596,1,10,209,209,319,776,971,2177,5,180,216,319,732,900.900000000001,2189,"Open Claims"
1772597,1772598,1772595,2,1,196,455.75,930,1707,1841,2188,4,181.3,446,948.5,1719,1878.1,2189,"Open Claims"
1772597,1772598,1772596,2,10,196,458,930.5,1707,1840.7,2188,2,184,446,943.5,1716.05,1874.7,2189,"Open Claims"
1772597,1772599,1772595,2,1,207,474,965,1728,1861,2188,2,200,453,924,1701.45,1830.3,2189,"Open Claims"
1772597,1772599,1772596,2,31,207,476,971,1728,1861.3,2188,5,196,450.25,924,1704.45,1829,2189,"Open Claims"
1772597,1772598,1772595,3,1,188,209,312,754.049999999999,943.700000000001,2177,4,207,232,333,777.25,970,2190,"Open Claims"
1772597,1772598,1772596,3,10,189,209,312,754,941,2177,2,207,232,332,776,969.5,2190,"Open Claims"
1772597,1772599,1772595,3,1,187,209,312,753,937.300000000001,2177,2,207,235,344,826,1030,2189,"Open Claims"
1772597,1772599,1772596,3,10,188,209,312,752,935,2177,5,207,235,343,824.35,1029,2189,"Open Claims"
1772597,1772598,1772595,4,1,189,447,915,1705,1838.7,2189,4,231,550,1098,1797,1952,2190,"Open Claims"
1772597,1772598,1772596,4,10,192,451,920,1704.05,1838,2189,2,230,547.25,1097,1798,1952,2190,"Open Claims"
1772597,1772599,1772595,4,1,188,441,902,1698.95,1833,2189,2,270,620,1222,1911,2029,2190,"Open Claims"
1772597,1772599,1772596,4,10,188,445,907,1697,1833,2189,5,265,614,1221,1911,2029,2190,"Open Claims"
